row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1660,7467,946,4.498,ANF,0,C7
C,2,1933,6258,1001,3.237,ANF,0.15,C7
D,2,1783,4666,732,2.617,ANF,0.62,C7
E,2,1528,2335,521,1.528,ANF,1.2,C7
F,2,1436,896,359,0.624,ANF,3,C7
G,2,1049,698,320,0.6654,ANF,5,C7
G,3,1768,687,379,0.3886,ANF,20,C73
F,3,1665,851,383,0.5111,ANF,10,C73
E,3,1665,884,340,0.5309,ANF,5,C73
D,3,1907,1504,477,0.7887,ANF,2.5,C73
C,3,2156,3092,771,1.434,ANF,1.25,C73
B,3,1848,7161,1092,3.875,ANF,0,C73
B,4,1637,5604,842,3.423,ANF,0,C76
C,4,1779,3748,810,2.107,ANF,1.25,C76
D,4,1584,2911,597,1.838,ANF,2.5,C76
E,4,1523,2609,627,1.713,ANF,5,C76
F,4,1578,3327,758,2.108,ANF,10,C76
G,4,1627,2404,761,1.478,ANF,20,C76
G,5,1451,870,424,0.5996,ANF,20,C44
F,5,1913,843,438,0.4407,ANF,10,C44
E,5,1517,1183,439,0.7798,ANF,5,C44
D,5,1992,1532,496,0.7691,ANF,2.5,C44
C,5,1898,2914,742,1.535,ANF,1.25,C44
B,5,1842,10384,1217,5.637,ANF,0,C44
B,6,2298,4362,940,1.898,ANF,0,REF
C,6,1908,4494,869,2.355,ANF,1.25,REF
D,6,1731,2358,629,1.362,ANF,2.5,REF
E,6,1881,1504,523,0.7996,ANF,5,REF
F,6,1904,1907,710,1.002,ANF,10,REF
G,6,1777,1788,667,1.006,ANF,20,REF
G,7,1473,616,319,0.4182,ANF,20,C85
F,7,1731,1036,434,0.5985,ANF,10,C85
E,7,1774,2067,501,1.165,ANF,5,C85
D,7,1794,1370,444,0.7637,ANF,2.5,C85
C,7,2153,3541,741,1.645,ANF,1.25,C85
B,7,1762,9480,1129,5.38,ANF,0,C85
B,8,1513,47,40,0.03106,ANF,0,THP-1
C,8,1620,71,64,0.04383,ANF,1.25,THP-1
D,8,1898,29,25,0.01528,ANF,2.5,THP-1
E,8,1205,42,37,0.03485,ANF,5,THP-1
F,8,1547,34,30,0.02198,ANF,10,THP-1
G,8,1769,49,42,0.0277,ANF,20,THP-1
G,9,1484,1991,700,1.342,ANF,20,C6
F,9,1500,2427,766,1.618,ANF,10,C6
E,9,1354,1485,509,1.097,ANF,5,C6
D,9,1910,3604,720,1.887,ANF,2.5,C6
C,9,2222,5578,1128,2.51,ANF,1.25,C6
B,9,1486,12667,1068,8.524,ANF,0,C6
B,10,1702,9417,1190,5.533,ANF,0,C67
C,10,2037,1927,596,0.946,ANF,1.25,C67
D,10,1878,1213,412,0.6459,ANF,2.5,C67
E,10,1546,846,372,0.5472,ANF,5,C67
F,10,1267,922,430,0.7277,ANF,10,C67
G,10,886,265,143,0.2991,ANF,20,C67
G,11,1559,502,295,0.322,ANF,20,C58
F,11,1527,394,228,0.258,ANF,10,C58
E,11,1175,353,184,0.3004,ANF,5,C58
D,11,1769,1079,377,0.6099,ANF,2.5,C58
C,11,1778,1773,512,0.9972,ANF,1.25,C58
B,11,1905,7904,1108,4.149,ANF,0,C58
