row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1371,13447,1069,9.808,MILT,0,C67
C,2,1733,14572,1267,8.409,MILT,0.15,C67
D,2,1537,7821,979,5.088,MILT,0.62,C67
E,2,1121,3470,652,3.095,MILT,1.2,C67
F,2,837,2897,533,3.461,MILT,3,C67
G,2,550,832,249,1.513,MILT,5,C67
G,3,482,2056,327,4.266,MILT,20,C6
F,3,509,1382,314,2.715,MILT,10,C6
E,3,711,5349,563,7.523,MILT,5,C6
D,3,1318,9150,947,6.942,MILT,2.5,C6
C,3,1533,13668,1202,8.916,MILT,1.25,C6
B,3,1681,17179,1350,10.22,MILT,0,C6
B,4,992,45,38,0.04536,MILT,0,THP-1
C,4,1111,43,35,0.0387,MILT,1.25,THP-1
D,4,882,30,25,0.03401,MILT,2.5,THP-1
E,4,513,10,10,0.01949,MILT,5,THP-1
F,4,528,12,10,0.02273,MILT,10,THP-1
G,4,536,15,13,0.02799,MILT,20,THP-1
G,5,283,397,139,1.403,MILT,20,REF
F,5,465,1567,298,3.37,MILT,10,REF
E,5,609,1696,377,2.785,MILT,5,REF
D,5,975,3453,640,3.542,MILT,2.5,REF
C,5,1782,8133,1068,4.564,MILT,1.25,REF
B,5,1672,12014,1241,7.185,MILT,0,REF
B,6,1282,7507,895,5.856,MILT,0,C85
C,6,1130,6736,787,5.961,MILT,1.25,C85
D,6,1070,1386,369,1.295,MILT,2.5,C85
E,6,950,355,184,0.3737,MILT,5,C85
F,6,844,1005,319,1.191,MILT,10,C85
G,6,541,506,187,0.9353,MILT,20,C85
G,7,428,798,213,1.864,MILT,20,C73
F,7,415,591,189,1.424,MILT,10,C73
E,7,821,1418,427,1.727,MILT,5,C73
D,7,1115,3010,637,2.7,MILT,2.5,C73
C,7,1457,10634,1082,7.299,MILT,1.25,C73
B,7,1687,11213,1262,6.647,MILT,0,C73
B,8,1794,6249,1085,3.483,MILT,0,C76
C,8,1887,8036,1219,4.259,MILT,1.25,C76
D,8,1439,2116,625,1.47,MILT,2.5,C76
E,8,745,915,322,1.228,MILT,5,C76
F,8,938,2698,574,2.876,MILT,10,C76
G,8,862,2668,505,3.095,MILT,20,C76
G,9,382,690,197,1.806,MILT,20,C58
F,9,583,1332,317,2.285,MILT,10,C58
E,9,687,910,286,1.325,MILT,5,C58
D,9,950,1768,471,1.861,MILT,2.5,C58
C,9,1490,3627,853,2.434,MILT,1.25,C58
B,9,1377,5880,889,4.27,MILT,0,C58
B,10,1209,2914,688,2.41,MILT,0,C7
C,10,1245,3924,742,3.152,MILT,1.25,C7
D,10,1101,1021,392,0.9273,MILT,2.5,C7
E,10,942,626,262,0.6645,MILT,5,C7
F,10,797,1049,315,1.316,MILT,10,C7
G,10,905,955,345,1.055,MILT,20,C7
G,11,343,548,180,1.598,MILT,20,C44
F,11,388,1008,204,2.598,MILT,10,C44
E,11,689,1113,325,1.615,MILT,5,C44
D,11,1144,2724,590,2.381,MILT,2.5,C44
C,11,1369,8973,987,6.554,MILT,1.25,C44
B,11,1460,8215,1075,5.627,MILT,0,C44
