row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1623,11744,1200,7.236,ANF,0,C67
C,2,1456,3183,621,2.186,ANF,0.15,C67
D,2,954,6785,658,7.112,ANF,0.62,C67
E,2,660,1026,252,1.555,ANF,1.2,C67
F,2,255,283,94,1.11,ANF,3,C67
G,2,50,24,18,0.48,ANF,5,C67
G,3,106,52,26,0.4906,ANF,20,C6
F,3,351,404,136,1.151,ANF,10,C6
E,3,926,1027,307,1.109,ANF,5,C6
D,3,1299,3631,656,2.795,ANF,2.5,C6
C,3,1949,2676,604,1.373,ANF,1.25,C6
B,3,1542,7861,1023,5.098,ANF,0,C6
B,4,788,18,18,0.02284,ANF,0,THP-1
C,4,1179,39,29,0.03308,ANF,1.25,THP-1
D,4,729,21,20,0.02881,ANF,2.5,THP-1
E,4,372,3,3,0.008065,ANF,5,THP-1
F,4,314,9,7,0.02866,ANF,10,THP-1
G,4,602,4,3,0.006645,ANF,20,THP-1
G,5,126,36,20,0.2857,ANF,20,REF
F,5,464,238,111,0.5129,ANF,10,REF
E,5,460,258,134,0.5609,ANF,5,REF
D,5,875,739,246,0.8446,ANF,2.5,REF
C,5,2054,1421,421,0.6918,ANF,1.25,REF
B,5,1944,8093,1118,4.163,ANF,0,REF
B,6,2171,9408,1292,4.333,ANF,0,C85
C,6,1826,4388,652,2.403,ANF,1.25,C85
D,6,1751,1762,441,1.006,ANF,2.5,C85
E,6,1642,1114,308,0.6784,ANF,5,C85
F,6,442,176,94,0.3982,ANF,10,C85
G,6,666,508,213,0.7628,ANF,20,C85
G,7,532,333,127,0.6259,ANF,20,C73
F,7,671,413,172,0.6155,ANF,10,C73
E,7,1155,809,269,0.7004,ANF,5,C73
D,7,1308,1243,319,0.9503,ANF,2.5,C73
C,7,1758,2525,513,1.436,ANF,1.25,C73
B,7,1844,11777,1298,6.387,ANF,0,C73
B,8,1616,12326,1174,7.627,ANF,0,C76
C,8,1819,3335,690,1.833,ANF,1.25,C76
D,8,1466,2082,474,1.42,ANF,2.5,C76
E,8,1163,602,260,0.5176,ANF,5,C76
F,8,568,342,137,0.6021,ANF,10,C76
G,8,534,215,110,0.4026,ANF,20,C76
G,9,435,281,114,0.646,ANF,20,C58
F,9,516,348,139,0.6744,ANF,10,C58
E,9,1395,961,332,0.6889,ANF,5,C58
D,9,1699,1632,426,0.9606,ANF,2.5,C58
C,9,1900,1798,376,0.9463,ANF,1.25,C58
B,9,1451,2470,653,1.702,ANF,0,C58
B,10,1662,2388,699,1.437,ANF,0,C7
C,10,1798,1609,369,0.8949,ANF,1.25,C7
D,10,1830,1094,358,0.5978,ANF,2.5,C7
E,10,919,468,195,0.5092,ANF,5,C7
F,10,604,257,109,0.4255,ANF,10,C7
G,10,550,115,63,0.2091,ANF,20,C7
G,11,187,61,28,0.3262,ANF,20,C44
F,11,377,154,78,0.4085,ANF,10,C44
E,11,436,242,116,0.555,ANF,5,C44
D,11,998,1413,317,1.416,ANF,2.5,C44
C,11,1389,1640,397,1.181,ANF,1.25,C44
B,11,1367,8369,1013,6.122,ANF,0,C44
