row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1351,14955,1072,11.07,MILT,0,C67
C,2,1664,15252,1270,9.166,MILT,1.25,C67
D,2,1530,8541,1051,5.582,MILT,2.5,C67
E,2,1108,4635,725,4.183,MILT,5,C67
F,2,793,3590,627,4.527,MILT,10,C67
G,2,559,1518,374,2.716,MILT,20,C67
G,3,471,3039,359,6.452,MILT,20,C6
F,3,500,2380,379,4.76,MILT,10,C6
E,3,684,7085,586,10.36,MILT,5,C6
D,3,1292,11577,1017,8.961,MILT,2.5,C6
C,3,1509,17060,1261,11.31,MILT,1.25,C6
B,3,1623,20058,1360,12.36,MILT,0,C6
B,4,986,562,264,0.57,MILT,0,THP-1
C,4,1084,753,315,0.6946,MILT,1.25,THP-1
D,4,862,333,186,0.3863,MILT,2.5,THP-1
E,4,511,255,158,0.499,MILT,5,THP-1
F,4,533,205,103,0.3846,MILT,10,THP-1
G,4,532,209,97,0.3929,MILT,20,THP-1
G,5,287,827,197,2.882,MILT,20,REF
F,5,449,2020,342,4.499,MILT,10,REF
E,5,589,3069,461,5.211,MILT,5,REF
D,5,959,6192,756,6.457,MILT,2.5,REF
C,5,1721,11979,1243,6.96,MILT,1.25,REF
B,5,1631,14683,1257,9.002,MILT,0,REF
B,6,1262,10167,945,8.056,MILT,0,C85
C,6,1113,7973,853,7.164,MILT,1.25,C85
D,6,1044,3950,663,3.784,MILT,2.5,C85
E,6,934,1768,482,1.893,MILT,5,C85
F,6,826,1921,506,2.326,MILT,10,C85
G,6,532,1128,342,2.12,MILT,20,C85
G,7,431,1358,285,3.151,MILT,20,C73
F,7,413,1282,273,3.104,MILT,10,C73
E,7,822,3286,596,3.998,MILT,5,C73
D,7,1085,5080,780,4.682,MILT,2.5,C73
C,7,1444,12302,1127,8.519,MILT,1.25,C73
B,7,1621,14001,1269,8.637,MILT,0,C73
B,8,1746,12380,1229,7.09,MILT,0,C76
C,8,1855,12884,1368,6.946,MILT,1.25,C76
D,8,1408,5747,987,4.082,MILT,2.5,C76
E,8,740,3433,536,4.639,MILT,5,C76
F,8,914,4288,701,4.691,MILT,10,C76
G,8,838,3975,621,4.743,MILT,20,C76
G,9,374,980,242,2.62,MILT,20,C58
F,9,579,2017,408,3.484,MILT,10,C58
E,9,679,2266,436,3.337,MILT,5,C58
D,9,945,4081,652,4.319,MILT,2.5,C58
C,9,1463,7578,1065,5.18,MILT,1.25,C58
B,9,1330,8972,977,6.746,MILT,0,C58
B,10,1205,7383,852,6.127,MILT,0,C7
C,10,1237,7948,917,6.425,MILT,1.25,C7
D,10,1077,3487,711,3.238,MILT,2.5,C7
E,10,948,2385,558,2.516,MILT,5,C7
F,10,799,2531,524,3.168,MILT,10,C7
G,10,891,2535,595,2.845,MILT,20,C7
G,11,347,973,225,2.804,MILT,20,C44
F,11,374,1417,254,3.789,MILT,10,C44
E,11,678,2798,467,4.127,MILT,5,C44
D,11,1114,4758,748,4.271,MILT,2.5,C44
C,11,1319,11289,1043,8.559,MILT,1.25,C44
B,11,1408,12641,1117,8.978,MILT,0,C44
