row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1360,16821,1132,12.37,ANF,0,C67
C,2,1346,4654,832,3.458,ANF,0.15,C67
D,2,859,8723,698,10.15,ANF,0.62,C67
E,2,640,1750,350,2.734,ANF,1.2,C67
F,2,234,975,170,4.167,ANF,3,C67
G,2,53,85,35,1.604,ANF,5,C67
G,3,105,182,66,1.733,ANF,5,C6
F,3,348,1145,248,3.29,ANF,3,C6
E,3,894,2079,498,2.326,ANF,1.2,C6
D,3,1232,6466,826,5.248,ANF,0.62,C6
C,3,1831,4465,946,2.439,ANF,0.15,C6
B,3,1380,15362,1144,11.13,ANF,0,C6
B,4,681,558,251,0.8194,ANF,0,THP-1
C,4,1016,838,385,0.8248,ANF,0.15,THP-1
D,4,674,776,298,1.151,ANF,0.62,THP-1
E,4,365,251,108,0.6877,ANF,1.2,THP-1
F,4,306,310,135,1.013,ANF,3,THP-1
G,4,565,290,156,0.5133,ANF,5,THP-1
G,5,126,134,60,1.063,ANF,5,REF
F,5,431,804,259,1.865,ANF,3,REF
E,5,426,790,258,1.854,ANF,1.2,REF
D,5,831,1495,389,1.799,ANF,0.62,REF
C,5,1776,2988,692,1.682,ANF,0.15,REF
B,5,1736,13080,1272,7.535,ANF,0,REF
B,6,2016,16489,1474,8.179,ANF,0,C85
C,6,1699,5668,799,3.336,ANF,0.15,C85
D,6,1673,5561,821,3.324,ANF,0.62,C85
E,6,1545,3650,601,2.362,ANF,1.2,C85
F,6,400,522,189,1.305,ANF,3,C85
G,6,603,1094,326,1.814,ANF,5,C85
G,7,513,810,257,1.579,ANF,5,C73
F,7,627,1070,330,1.707,ANF,3,C73
E,7,1101,1617,496,1.469,ANF,1.2,C73
D,7,1249,2393,519,1.916,ANF,0.62,C73
C,7,1638,2914,633,1.779,ANF,0.15,C73
B,7,1644,16891,1275,10.27,ANF,0,C73
B,8,1470,19262,1212,13.1,ANF,0,C76
C,8,1712,4037,795,2.358,ANF,0.15,C76
D,8,1403,2768,605,1.973,ANF,0.62,C76
E,8,1127,1012,413,0.898,ANF,1.2,C76
F,8,555,750,262,1.351,ANF,3,C76
G,8,504,800,278,1.587,ANF,5,C76
G,9,409,732,235,1.79,ANF,5,C58
F,9,480,771,255,1.606,ANF,3,C58
E,9,1314,1434,460,1.091,ANF,1.2,C58
D,9,1606,2254,530,1.403,ANF,0.62,C58
C,9,1771,2321,502,1.311,ANF,0.15,C58
B,9,1368,10654,1051,7.788,ANF,0,C58
B,10,1586,9929,1131,6.26,ANF,0,C7
C,10,1681,2238,499,1.331,ANF,0.15,C7
D,10,1753,1599,483,0.9122,ANF,0.62,C7
E,10,889,873,311,0.982,ANF,1.2,C7
F,10,564,592,240,1.05,ANF,3,C7
G,10,516,425,208,0.8236,ANF,5,C7
G,11,184,249,96,1.353,ANF,5,C44
F,11,331,451,175,1.363,ANF,3,C44
E,11,413,523,193,1.266,ANF,1.2,C44
D,11,949,1956,446,2.061,ANF,0.62,C44
C,11,1304,1969,516,1.51,ANF,0.15,C44
B,11,1292,12417,1022,9.611,ANF,0,C44
