row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,494,217,148,0.4393,MILT,0,THP-1
C,2,276,115,75,0.4167,MILT,1.25,THP-1
D,2,396,178,115,0.4495,MILT,2.5,THP-1
E,2,430,225,146,0.5233,MILT,5,THP-1
F,2,271,233,120,0.8598,MILT,10,THP-1
G,2,155,69,41,0.4452,MILT,20,THP-1
G,3,300,684,163,2.28,MILT,20,REF
F,3,715,1659,423,2.32,MILT,10,REF
E,3,726,1128,382,1.554,MILT,5,REF
D,3,695,1620,387,2.331,MILT,2.5,REF
C,3,659,6954,497,10.55,MILT,1.25,REF
B,3,858,6064,551,7.068,MILT,0,REF
B,4,662,14725,560,22.24,MILT,0,C6
C,4,609,14731,533,24.19,MILT,1.25,C6
D,4,765,19289,634,25.21,MILT,2.5,C6
E,4,868,12278,711,14.15,MILT,5,C6
F,4,717,10860,601,15.15,MILT,10,C6
G,4,387,3662,307,9.463,MILT,20,C6
G,5,495,10006,445,20.21,MILT,20,C7
F,5,732,8895,601,12.15,MILT,10,C7
E,5,713,6498,553,9.114,MILT,5,C7
D,5,766,12168,620,15.89,MILT,2.5,C7
C,5,761,19649,630,25.82,MILT,1.25,C7
B,5,845,18715,655,22.15,MILT,0,C7
B,6,788,11338,565,14.39,MILT,0,C44
C,6,663,15138,556,22.83,MILT,1.25,C44
D,6,697,4516,524,6.479,MILT,2.5,C44
E,6,781,2177,509,2.787,MILT,5,C44
F,6,729,2950,550,4.047,MILT,10,C44
G,6,411,2658,298,6.467,MILT,20,C44
G,7,418,2570,316,6.148,MILT,20,C58
F,7,675,3322,531,4.921,MILT,10,C58
E,7,896,2848,587,3.179,MILT,5,C58
D,7,738,9328,576,12.64,MILT,2.5,C58
C,7,664,14803,562,22.29,MILT,1.25,C58
B,7,601,11684,466,19.44,MILT,0,C58
B,8,865,18227,624,21.07,MILT,0,C67
C,8,635,14404,502,22.68,MILT,1.25,C67
D,8,553,11758,461,21.26,MILT,2.5,C67
E,8,715,6376,503,8.917,MILT,5,C67
F,8,748,3250,546,4.345,MILT,10,C67
G,8,514,2840,411,5.525,MILT,20,C67
G,9,514,890,272,1.732,MILT,20,C73
F,9,767,2187,439,2.851,MILT,10,C73
E,9,648,2315,363,3.573,MILT,5,C73
D,9,793,4852,541,6.119,MILT,2.5,C73
C,9,508,8448,410,16.63,MILT,1.25,C73
B,9,569,5341,381,9.387,MILT,0,C73
B,10,670,7206,424,10.76,MILT,0,C89
C,10,600,11949,462,19.92,MILT,1.25,C89
D,10,708,8680,518,12.26,MILT,2.5,C89
E,10,673,1539,336,2.287,MILT,5,C89
F,10,539,1559,320,2.892,MILT,10,C89
G,10,375,747,209,1.992,MILT,20,C89
G,11,457,1587,321,3.473,MILT,20,C85
F,11,491,2275,361,4.633,MILT,10,C85
E,11,548,2539,417,4.633,MILT,5,C85
D,11,625,6328,491,10.12,MILT,2.5,C85
C,11,438,10695,374,24.42,MILT,1.25,C85
B,11,683,10852,482,15.89,MILT,0,C85
