Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	114	153	60	1.342	13	0	x	0	THP-1	
True		C	2	0	142	158	70	1.113	13	0	x	1.25	THP-1	
True		D	2	0	130	234	76	1.8	13	0	x	2.5	THP-1	
True		E	2	0	89	34	22	0.382	13	0	x	5	THP-1	
True		F	2	0	80	105	37	1.313	13	0	x	10	THP-1	
True		G	2	0	60	62	28	1.033	13	0	x	20	THP-1	
True		G	3	0	88	585	61	6.648	13	0	MILT	20	C76	
True		F	3	0	201	1745	157	8.682	13	0	MILT	10	C76	
True		E	3	0	214	1250	169	5.841	13	0	MILT	5	C76	
True		D	3	0	213	1798	175	8.441	13	0	MILT	2.5	C76	
True		C	3	0	241	3506	197	14.55	13	0	MILT	1.25	C76	
True		B	3	0	393	8169	314	20.79	13	0	MILT	0	C76	
True		B	4	0	342	6455	262	18.87	13	0	MILT	0	C44	
True		C	4	0	179	1515	148	8.464	13	0	MILT	1.25	C44	
True		D	4	0	286	2447	232	8.556	13	0	MILT	2.5	C44	
True		E	4	0	139	452	98	3.252	13	0	MILT	5	C44	
True		F	4	0	158	906	125	5.734	13	0	MILT	10	C44	
True		G	4	0	63	187	39	2.968	13	0	MILT	20	C44	
True		G	5	0	152	1257	135	8.27	13	0	MILT	20	C6	
True		F	5	0	138	1975	126	14.31	13	0	MILT	10	C6	
True		E	5	0	239	3887	206	16.26	13	0	MILT	5	C6	
True		D	5	0	222	3734	192	16.82	13	0	MILT	2.5	C6	
True		C	5	0	238	3311	214	13.91	13	0	MILT	1.25	C6	
True		B	5	0	265	5750	236	21.7	13	0	MILT	0	C6	
True		B	6	0	205	1162	142	5.668	13	0	MILT	0	C58	
True		C	6	0	231	1188	168	5.143	13	0	MILT	1.25	C58	
True		D	6	0	185	503	123	2.719	13	0	MILT	2.5	C58	
True		E	6	0	214	590	138	2.757	13	0	MILT	5	C58	
True		F	6	0	141	623	104	4.418	13	0	MILT	10	C58	
True		G	6	0	73	142	38	1.945	13	0	MILT	20	C58	
True		G	7	0	56	68	21	1.214	13	0	MILT	20	REF	
True		F	7	0	164	488	102	2.976	13	0	MILT	10	REF	
True		E	7	0	239	941	177	3.937	13	0	MILT	5	REF	
True		D	7	0	264	1329	180	5.034	13	0	MILT	2.5	REF	
True		C	7	0	277	1895	213	6.841	13	0	MILT	1.25	REF	
True		B	7	0	312	5404	235	17.32	13	0	MILT	0	REF	
True		B	8	0	342	5328	243	15.58	13	0	MILT	0	C67	
True		C	8	0	186	1223	142	6.575	13	0	MILT	1.25	C67	
True		D	8	0	200	570	123	2.85	13	0	MILT	2.5	C67	
True		E	8	0	211	736	156	3.488	13	0	MILT	5	C67	
True		F	8	0	116	406	87	3.5	13	0	MILT	10	C67	
True		G	8	0	104	500	77	4.808	13	0	MILT	20	C67	
True		G	9	0	99	324	68	3.273	13	0	MILT	20	C7	
True		F	9	0	123	237	74	1.927	13	0	MILT	10	C7	
True		E	9	0	177	569	125	3.215	13	0	MILT	5	C7	
True		D	9	0	158	875	116	5.538	13	0	MILT	2.5	C7	
True		C	9	0	154	1071	114	6.955	13	0	MILT	1.25	C7	
True		B	9	0	233	2718	186	11.67	13	0	MILT	0	C7	
True		B	10	0	344	7904	258	22.98	13	0	MILT	0	C73	
True		C	10	0	259	1553	195	5.996	13	0	MILT	1.25	C73	
True		D	10	0	151	620	105	4.106	13	0	MILT	2.5	C73	
True		E	10	0	161	480	118	2.981	13	0	MILT	5	C73	
True		F	10	0	112	394	81	3.518	13	0	MILT	10	C73	
True		G	10	0	55	98	37	1.782	13	0	MILT	20	C73	
True		G	11	0	84	531	58	6.321	13	0	MILT	20	C85	
True		F	11	0	113	704	77	6.23	13	0	MILT	10	C85	
True		E	11	0	121	224	68	1.851	13	0	MILT	5	C85	
True		D	11	0	91	250	55	2.747	13	0	MILT	2.5	C85	
True		C	11	0	148	647	119	4.372	13	0	MILT	1.25	C85	
True		B	11	0	214	3819	185	17.85	12	0	MILT	0	C85	
