Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1645	9300	1139	5.653	13	0	MILT	0	C7	
True		C	2	0	1706	16058	1235	9.413	13	0	MILT	1.25	C7	
True		D	2	0	1796	3382	875	1.883	13	0	MILT	2.5	C7	
True		E	2	0	1547	2858	796	1.847	13	0	MILT	5	C7	
True		F	2	0	1291	1586	520	1.229	13	0	MILT	10	C7	
True		G	2	0	1380	1685	616	1.221	13	0	MILT	20	C7	
True		G	3	0	1443	1530	634	1.06	13	0	MILT	20	C73	
True		F	3	0	1745	1714	615	0.9822	13	0	MILT	10	C73	
True		E	3	0	1661	2870	876	1.728	13	0	MILT	5	C73	
True		D	3	0	1940	2889	869	1.489	13	0	MILT	2.5	C73	
True		C	3	0	2087	13946	1500	6.682	13	0	MILT	1.25	C73	
True		B	3	0	1993	10117	1356	5.076	13	0	MILT	0	C73	
True		B	4	0	1746	12617	1203	7.226	13	0	MILT	0	C76	
True		C	4	0	1945	20027	1459	10.3	13	0	MILT	1.25	C76	
True		D	4	0	1620	8445	1010	5.213	13	0	MILT	2.5	C76	
True		E	4	0	1331	1237	463	0.9294	13	0	MILT	5	C76	
True		F	4	0	1385	2776	708	2.004	13	0	MILT	10	C76	
True		G	4	0	1500	3033	742	2.022	13	0	MILT	20	C76	
True		G	5	0	1447	2018	676	1.395	13	0	MILT	20	C44	
True		F	5	0	1721	2795	856	1.624	13	0	MILT	10	C44	
True		E	5	0	1354	2812	777	2.077	13	0	MILT	5	C44	
True		D	5	0	1628	2946	812	1.81	13	0	MILT	2.5	C44	
True		C	5	0	2195	12213	1468	5.564	13	0	MILT	1.25	C44	
True		B	5	0	1924	14650	1403	7.614	13	0	MILT	0	C44	
True		B	6	0	1552	6140	964	3.956	13	0	MILT	0	REF	
True		C	6	0	1911	3877	962	2.029	13	0	MILT	1.25	REF	
True		D	6	0	1412	1161	532	0.8222	13	0	MILT	2.5	REF	
True		E	6	0	1211	848	419	0.7002	13	0	MILT	5	REF	
True		F	6	0	1504	1690	721	1.124	13	0	MILT	10	REF	
True		G	6	0	1695	1915	821	1.13	13	0	MILT	20	REF	
True		G	7	0	1149	1980	625	1.723	13	0	MILT	20	C85	
True		F	7	0	1400	3199	792	2.285	13	0	MILT	10	C85	
True		E	7	0	1166	2034	645	1.744	13	0	MILT	5	C85	
True		D	7	0	1602	6883	925	4.297	13	0	MILT	2.5	C85	
True		C	7	0	1987	16384	1352	8.246	13	0	MILT	1.25	C85	
True		B	7	0	1647	14602	1210	8.866	13	0	MILT	0	C85	
True		B	8	0	1103	779	373	0.7063	13	0	MILT	0	THP-1	
True		C	8	0	1244	752	401	0.6045	13	0	MILT	1.25	THP-1	
True		D	8	0	954	483	287	0.5063	13	0	MILT	2.5	THP-1	
True		E	8	0	994	723	329	0.7274	13	0	MILT	5	THP-1	
True		F	8	0	1216	1340	586	1.102	13	0	MILT	10	THP-1	
True		G	8	0	1353	1501	651	1.109	13	0	MILT	20	THP-1	
True		G	9	0	1499	4464	955	2.978	13	0	MILT	20	C6	
True		F	9	0	1325	6352	920	4.794	13	0	MILT	10	C6	
True		E	9	0	1090	7193	811	6.599	13	0	MILT	5	C6	
True		D	9	0	1069	7208	748	6.743	13	0	MILT	2.5	C6	
True		C	9	0	1242	11872	880	9.559	13	0	MILT	1.25	C6	
True		B	9	0	1256	14880	1032	11.85	13	0	MILT	0	C6	
True		B	10	0	1201	7794	865	6.49	13	0	MILT	0	C67	
True		C	10	0	1609	8437	1118	5.244	13	0	MILT	1.25	C67	
True		D	10	0	1408	2223	659	1.579	13	0	MILT	2.5	C67	
True		E	10	0	1068	1448	505	1.356	13	0	MILT	5	C67	
True		F	10	0	1316	2299	694	1.747	13	0	MILT	10	C67	
True		G	10	0	1263	2645	735	2.094	13	0	MILT	20	C67	
True		G	11	0	1218	1877	677	1.541	13	0	MILT	20	C58	
True		F	11	0	1063	1979	625	1.862	13	0	MILT	10	C58	
True		E	11	0	805	1270	444	1.578	13	0	MILT	5	C58	
True		D	11	0	1054	1536	509	1.457	13	0	MILT	2.5	C58	
True		C	11	0	1361	9572	994	7.033	13	0	MILT	1.25	C58	
True		B	11	0	1233	7009	848	5.685	13	0	MILT	0	C58	
