row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1632,222,139,1.597,ANF,0,THP-1
C,2,1031,76,62,1.226,ANF,0.15,THP-1
D,2,846,48,34,1.412,ANF,0.62,THP-1
E,2,1979,215,129,1.667,ANF,1.2,THP-1
F,2,2823,439,244,1.799,ANF,3,THP-1
G,2,3461,226,183,1.235,ANF,5,THP-1
G,3,3127,104,81,1.284,ANF,5,REF
F,3,3009,1679,527,3.186,ANF,3,REF
E,3,2468,1175,390,3.013,ANF,1.2,REF
D,3,1795,1765,320,5.516,ANF,0.62,REF
C,3,1949,1816,483,3.76,ANF,0.15,REF
B,3,2223,8417,1123,7.495,ANF,0,REF
B,4,1704,6839,888,7.702,ANF,0,C76
C,4,1889,2853,664,4.297,ANF,0.15,C76
D,4,1313,2242,396,5.662,ANF,0.62,C76
E,4,2550,2168,428,5.065,ANF,1.2,C76
F,4,3352,1716,527,3.256,ANF,3,C76
G,4,2678,96,81,1.185,ANF,5,C76
G,5,2897,104,85,1.224,ANF,5,C67p
F,5,3741,1155,496,2.329,ANF,3,C67p
E,5,2833,1154,364,3.17,ANF,1.2,C67p
D,5,2452,1203,361,3.332,ANF,0.62,C67p
C,5,1761,1309,372,3.519,ANF,0.15,C67p
B,5,1587,5203,792,6.569,ANF,0,C67p
B,6,1624,5840,803,7.273,ANF,0,C68
C,6,1458,2158,348,6.201,ANF,0.15,C68
D,6,1077,1678,296,5.669,ANF,0.62,C68
E,6,1955,1653,340,4.862,ANF,1.2,C68
F,6,2532,602,214,2.813,ANF,3,C68
G,6,987,20,13,1.538,ANF,5,C68
