row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
G,7,831,576,327,1.761,MILT,20,THP-1
F,7,1125,614,364,1.687,MILT,10,THP-1
E,7,1170,420,273,1.538,MILT,5,THP-1
D,7,877,62,50,1.24,MILT,2.5,THP-1
C,7,1229,85,54,1.574,MILT,1.25,THP-1
B,7,421,752,117,6.427,MILT,0,THP-1
B,8,1803,7674,1126,6.815,MILT,0,REF
C,8,1676,9147,1079,8.477,MILT,1.25,REF
D,8,1534,5659,903,6.267,MILT,2.5,REF
E,8,1453,3054,715,4.271,MILT,5,REF
F,8,1133,2177,615,3.54,MILT,10,REF
G,8,650,1517,382,3.971,MILT,20,REF
G,9,928,1590,405,3.926,MILT,20,C76
F,9,849,2607,550,4.74,MILT,10,C76
E,9,1636,2913,732,3.98,MILT,5,C76
D,9,1001,2389,492,4.856,MILT,2.5,C76
C,9,1446,5368,734,7.313,MILT,1.25,C76
B,9,1761,6646,1031,6.446,MILT,0,C76
B,10,1892,15102,1435,10.52,MILT,0,C67p
C,10,1144,11197,881,12.71,MILT,1.25,C67p
D,10,1090,5844,762,7.669,MILT,2.5,C67p
E,10,784,2630,481,5.468,MILT,5,C67p
F,10,1063,3654,702,5.205,MILT,10,C67p
G,10,418,1173,250,4.692,MILT,20,C67p
G,11,610,1736,380,4.568,MILT,20,THP-1
F,11,726,2223,449,4.951,MILT,10,THP-1
E,11,1610,3248,804,4.04,MILT,5,THP-1
D,11,1684,6557,973,6.739,MILT,2.5,THP-1
C,11,1841,12966,1229,10.55,MILT,1.25,THP-1
B,11,2160,8738,1165,7.5,MILT,0,THP-1
