row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
G,7,1107,325,191,1.702,MILT,20,THP-1
F,7,1887,724,345,2.099,MILT,10,THP-1
E,7,1247,319,194,1.644,MILT,5,THP-1
D,7,1163,221,139,1.59,MILT,2.5,THP-1
C,7,1718,333,194,1.716,MILT,1.25,THP-1
B,7,1255,240,128,1.875,MILT,0,THP-1
B,8,1551,4845,801,6.049,MILT,0,REF
C,8,1559,7469,881,8.478,MILT,1.25,REF
D,8,1779,4008,711,5.637,MILT,2.5,REF
E,8,2139,3805,758,5.02,MILT,5,REF
F,8,2007,2751,612,4.495,MILT,10,REF
G,8,2263,3437,681,5.047,MILT,20,REF
G,9,2162,3904,739,5.283,MILT,20,C76
F,9,2494,4373,764,5.724,MILT,10,C76
E,9,2430,4591,916,5.012,MILT,5,C76
D,9,1837,6176,799,7.73,MILT,2.5,C76
C,9,2060,7168,1088,6.588,MILT,1.25,C76
B,9,2277,8094,1134,7.138,MILT,0,C76
B,10,1762,8446,1023,8.256,MILT,0,C67p
C,10,1934,7907,1083,7.301,MILT,1.25,C67p
D,10,1640,7142,774,9.227,MILT,2.5,C67p
E,10,2036,6912,751,9.204,MILT,5,C67p
F,10,2357,3842,697,5.512,MILT,10,C67p
G,10,2199,5023,646,7.776,MILT,20,C67p
G,11,730,2460,218,11.28,MILT,20,THP-1
F,11,1612,3881,493,7.872,MILT,10,THP-1
E,11,1775,3854,577,6.679,MILT,5,THP-1
D,11,884,5031,457,11.01,MILT,2.5,THP-1
C,11,1593,6163,823,7.488,MILT,1.25,THP-1
B,11,2212,7997,1216,6.576,MILT,0,THP-1
