row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,665,101,75,1.347,SbIII,0,THP-1
C,2,1123,235,158,1.487,SbIII,10,THP-1
D,2,388,95,64,1.484,SbIII,25,THP-1
E,2,540,109,69,1.58,SbIII,35,THP-1
F,2,742,335,117,2.863,SbIII,65,THP-1
G,2,268,56,42,1.333,SbIII,100,THP-1
G,3,89,20,12,1.667,SbIII,100,REF
F,3,83,20,14,1.429,SbIII,65,REF
E,3,771,3057,440,6.948,SbIII,35,REF
D,3,1016,9067,656,13.82,SbIII,25,REF
C,3,990,8424,666,12.65,SbIII,10,REF
B,3,1378,10848,982,11.05,SbIII,0,REF
B,4,1250,9272,848,10.93,SbIII,0,C76
C,4,1547,12026,1114,10.8,SbIII,10,C76
D,4,846,6561,540,12.15,SbIII,25,C76
E,4,347,849,176,4.824,SbIII,35,C76
F,4,169,285,98,2.908,SbIII,65,C76
G,4,136,39,23,1.696,SbIII,100,C76
G,5,432,298,131,2.275,SbIII,100,C67p
F,5,402,484,189,2.561,SbIII,65,C67p
E,5,303,444,133,3.338,SbIII,35,C67p
D,5,613,1847,323,5.718,SbIII,25,C67p
C,5,1684,11377,1158,9.825,SbIII,10,C67p
B,5,1364,11972,918,13.04,SbIII,0,C67p
B,6,978,10397,720,14.44,SbIII,0,C68
C,6,1006,9309,743,12.53,SbIII,10,C68
D,6,629,1821,342,5.325,SbIII,25,C68
E,6,405,575,167,3.443,SbIII,35,C68
F,6,312,488,159,3.069,SbIII,65,C68
G,6,181,189,76,2.487,SbIII,100,C68
