row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1518,745,248,3.004,ANF,0,THP-1
C,2,1749,355,162,2.191,ANF,0.15,THP-1
D,2,814,72,56,1.286,ANF,0.62,THP-1
E,2,1877,102,85,1.2,ANF,1.2,THP-1
F,2,1573,387,280,1.382,ANF,3,THP-1
G,2,1858,264,174,1.517,ANF,5,THP-1
G,3,1448,1637,473,3.461,ANF,5,REF
F,3,1970,3373,676,4.99,ANF,3,REF
E,3,1990,3914,678,5.773,ANF,1.2,REF
D,3,1677,3743,587,6.376,ANF,0.62,REF
C,3,2027,5074,943,5.381,ANF,0.15,REF
B,3,1373,3873,703,5.509,ANF,0,REF
B,4,1658,5024,915,5.491,ANF,0,C76
C,4,1404,4096,769,5.326,ANF,0.15,C76
D,4,1134,1485,361,4.114,ANF,0.62,C76
E,4,1506,1528,422,3.621,ANF,1.2,C76
F,4,1354,2760,579,4.767,ANF,3,C76
G,4,1202,378,233,1.622,ANF,5,C76
G,5,1670,1297,486,2.669,ANF,5,C67p
F,5,1869,3662,868,4.219,ANF,3,C67p
E,5,1285,2269,508,4.467,ANF,1.2,C67p
D,5,1089,1833,373,4.914,ANF,0.62,C67p
C,5,1566,3139,770,4.077,ANF,0.15,C67p
B,5,1097,4222,735,5.744,ANF,0,C67p
B,6,493,797,218,3.656,ANF,0,C68
C,6,771,3149,425,7.409,ANF,0.15,C68
D,6,750,1298,311,4.174,ANF,0.62,C68
E,6,693,1451,253,5.735,ANF,1.2,C68
F,6,1250,1888,453,4.168,ANF,3,C68
G,6,649,282,132,2.136,ANF,5,C68
