row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1506,279,207,1.348,SbIII,0,THP-1
C,2,414,365,189,1.931,SbIII,10,THP-1
D,2,194,451,117,3.855,SbIII,25,THP-1
E,2,106,260,61,4.262,SbIII,35,THP-1
F,2,269,618,177,3.492,SbIII,65,THP-1
G,2,315,215,122,1.762,SbIII,100,THP-1
G,3,261,320,116,2.759,SbIII,100,REF
F,3,238,624,137,4.555,SbIII,65,REF
E,3,291,725,179,4.05,SbIII,35,REF
D,3,517,994,260,3.823,SbIII,25,REF
C,3,1286,4473,701,6.381,SbIII,10,REF
B,3,1818,5678,976,5.818,SbIII,0,REF
B,4,1626,5839,946,6.172,SbIII,0,C76
C,4,1546,4473,816,5.482,SbIII,10,C76
D,4,1194,2889,656,4.404,SbIII,25,C76
E,4,546,1085,328,3.308,SbIII,35,C76
F,4,186,395,111,3.559,SbIII,65,C76
G,4,182,336,104,3.231,SbIII,100,C76
G,5,481,1447,318,4.55,SbIII,100,C67p
F,5,297,1162,208,5.587,SbIII,65,C67p
E,5,710,2284,495,4.614,SbIII,35,C67p
D,5,1127,5491,848,6.475,SbIII,25,C67p
C,5,1621,9716,1171,8.297,SbIII,10,C67p
B,5,2304,11457,1711,6.696,SbIII,0,C67p
B,6,2073,8125,1132,7.178,SbIII,0,C68
C,6,2352,10231,1403,7.292,SbIII,10,C68
D,6,1913,4431,1050,4.22,SbIII,25,C68
E,6,594,989,313,3.16,SbIII,35,C68
F,6,324,851,213,3.995,SbIII,65,C68
G,6,380,798,234,3.41,SbIII,100,C68
